id,area,severity,title,affected_file,affected_symbol,finding_tags,source_log,issue_file,summary,proposed_patch
11,core,High,"AMRSimulation::ReadMetadataFile(...): uses `feholdexcept(...)` / `fesetenv(...)` for temporary FPE masking (`src/simulation.hpp:4164-4165`, `:4192`), but `YAML::LoadFile(...)` or subsequent parsing can throw before `fesetenv(...)` runs, leaving the process FPE environment altered",src/simulation.hpp,AMRSimulation::ReadMetadataFile(...),robustness,audit/src-audit-log.md:288,audit/issues/core/011-amrsimulation-readmetadatafile-simulation-hpp.md,"uses `feholdexcept(...)` / `fesetenv(...)` for temporary FPE masking (`src/simulation.hpp:4164-4165`, `:4192`), but `YAML::LoadFile(...)` or subsequent parsing can throw before `fesetenv(...)` runs, leaving the process FPE environment altered.",Wrap FPE-environment masking/restoration in an RAII guard so `fesetenv(...)` always runs on normal return and exception paths.
12,core,High,"AMRSimulation::readCheckpointHeader(...): parses `istep`, `dt_`, and `tNew_` lines with unbounded `while (lis >> word) { arr[i++] = ...; }` loops (`src/simulation.hpp:4437-4440`, `:4447-4450`, `:4457-4460`) into fixed-size arrays, so malformed headers with extra tokens can overflow",src/simulation.hpp,AMRSimulation::readCheckpointHeader(...),robustness,audit/src-audit-log.md:294,audit/issues/core/012-amrsimulation-readcheckpointheader-simulation-hpp.md,"parses `istep`, `dt_`, and `tNew_` lines with unbounded `while (lis >> word) { arr[i++] = ...; }` loops (`src/simulation.hpp:4437-4440`, `:4447-4450`, `:4457-4460`) into fixed-size arrays, so malformed headers with extra tokens can overflow.","Bound the parser loop by the destination array size, validate the exact token count, and reject malformed checkpoint headers instead of continuing to parse."
13,core,Medium,"QuokkaSimulation::computeNumberOfRadiationSubsteps(int, Real): computes `dtrad_tmp = radiationCflNumber_ * (dx_min / c_hat)` and `ceil(dt_lev_hydro / dtrad_tmp)` with no guard for `c_hat <= 0` or non-positive `radiationCflNumber_` (`src/QuokkaSimulation.hpp:718-721`), allowing division by zero / invalid substep counts from bad runtime parameters",src/QuokkaSimulation.hpp,"QuokkaSimulation::computeNumberOfRadiationSubsteps(int, Real)",robustness,audit/src-audit-log.md:308,audit/issues/core/013-quokkasimulation-computenumberofradiationsubsteps-int-real-quokkasim.md,"computes `dtrad_tmp = radiationCflNumber_ * (dx_min / c_hat)` and `ceil(dt_lev_hydro / dtrad_tmp)` with no guard for `c_hat <= 0` or non-positive `radiationCflNumber_` (`src/QuokkaSimulation.hpp:718-721`), allowing division by zero / invalid substep counts from bad runtime parameters.","Add explicit runtime guards for zero/non-finite/invalid inputs before the division or square-root path, and choose a deterministic fallback (early return, clamp, or hard abort) consistent with surrounding code."
14,core,Medium,"QuokkaSimulation::isCflViolated(...): computes `dt_cfl = cflNumber_ * (dx_min / max_signal)` without guarding zero/non-finite `max_signal` (`src/QuokkaSimulation.hpp:2037`), allowing `inf`/`nan` CFL thresholds and unreliable retry acceptance",src/QuokkaSimulation.hpp,QuokkaSimulation::isCflViolated(...),robustness,audit/src-audit-log.md:330,audit/issues/core/014-quokkasimulation-iscflviolated-quokkasimulation-hpp.md,"computes `dt_cfl = cflNumber_ * (dx_min / max_signal)` without guarding zero/non-finite `max_signal` (`src/QuokkaSimulation.hpp:2037`), allowing `inf`/`nan` CFL thresholds and unreliable retry acceptance.","Add explicit runtime guards for zero/non-finite/invalid inputs before the division or square-root path, and choose a deterministic fallback (early return, clamp, or hard abort) consistent with surrounding code."
15,core,Medium,QuokkaSimulation::advanceHydroAtLevel(...): Stage-2 face-centered ghost fill uses `time` instead of `time + dt_lev` (`src/QuokkaSimulation.hpp:2309`) while the cell-centered fill uses `time + dt_lev` (`src/QuokkaSimulation.hpp:2305`),src/QuokkaSimulation.hpp,QuokkaSimulation::advanceHydroAtLevel(...),none,audit/src-audit-log.md:331,audit/issues/core/015-quokkasimulation-advancehydroatlevel-quokkasimulation-hpp.md,Stage-2 face-centered ghost fill uses `time` instead of `time + dt_lev` (`src/QuokkaSimulation.hpp:2309`) while the cell-centered fill uses `time + dt_lev` (`src/QuokkaSimulation.hpp:2305`). This can apply inconsistent boundary states for time-dependent MHD boundary conditions during the RK2 corrector stage.,Use `time + dt_lev` consistently for both cell-centered and face-centered RK2 stage-2 boundary fills to keep time-dependent BCs synchronized.
16,core,High,"QuokkaSimulation::computeMaxSignalLocal(int): MHD face arrays are filled with `for (int idim = 0; idim < 3; ++idim)` (`src/QuokkaSimulation.hpp:735`) even though the container type is `std::array<..., AMREX_SPACEDIM>`",src/QuokkaSimulation.hpp,QuokkaSimulation::computeMaxSignalLocal(int),portability,audit/src-audit-log.md:332,audit/issues/core/016-quokkasimulation-computemaxsignallocal-int-quokkasimulation-hpp.md,"MHD face arrays are filled with `for (int idim = 0; idim < 3; ++idim)` (`src/QuokkaSimulation.hpp:735`) even though the container type is `std::array<..., AMREX_SPACEDIM>`. This is out-of-bounds for 1D/2D MHD builds.","Make dimensional assumptions explicit: either add `static_assert(AMREX_SPACEDIM == 3)` for intentionally 3D code, or rewrite loops/indexing to use `AMREX_SPACEDIM` with dimension-guarded branches. | Replace fixed indices/loop bounds with container-size-aware logic (`AMREX_SPACEDIM` / `.size()`), and add assertions in debug builds to catch future regressions."
17,core,High,"QuokkaSimulation::replaceEMFs(...): loops `for (int iedge = 0; iedge < 3; ++iedge)` over `std::array<amrex::MultiFab, AMREX_SPACEDIM>` (`src/QuokkaSimulation.hpp:2507`), which is out-of-bounds for 1D/2D MHD builds",src/QuokkaSimulation.hpp,QuokkaSimulation::replaceEMFs(...),portability,audit/src-audit-log.md:333,audit/issues/core/017-quokkasimulation-replaceemfs-quokkasimulation-hpp.md,"loops `for (int iedge = 0; iedge < 3; ++iedge)` over `std::array<amrex::MultiFab, AMREX_SPACEDIM>` (`src/QuokkaSimulation.hpp:2507`), which is out-of-bounds for 1D/2D MHD builds.","Make dimensional assumptions explicit: either add `static_assert(AMREX_SPACEDIM == 3)` for intentionally 3D code, or rewrite loops/indexing to use `AMREX_SPACEDIM` with dimension-guarded branches. | Replace fixed indices/loop bounds with container-size-aware logic (`AMREX_SPACEDIM` / `.size()`), and add assertions in debug builds to catch future regressions."
18,core,High,"HydroSystem::ComputeMaxSignalSpeed(...): MHD branch unconditionally reads `cons_fc[1]` and `cons_fc[2]` (`src/hydro/hydro_system.hpp:409-412`) from a `std::array<..., AMREX_SPACEDIM>`, causing out-of-bounds access for 1D/2D MHD builds",src/hydro/hydro_system.hpp,HydroSystem::ComputeMaxSignalSpeed(...),portability,audit/src-audit-log.md:375,audit/issues/core/018-hydrosystem-computemaxsignalspeed-hydro-system-hpp.md,"MHD branch unconditionally reads `cons_fc[1]` and `cons_fc[2]` (`src/hydro/hydro_system.hpp:409-412`) from a `std::array<..., AMREX_SPACEDIM>`, causing out-of-bounds access for 1D/2D MHD builds.","Replace fixed indices/loop bounds with container-size-aware logic (`AMREX_SPACEDIM` / `.size()`), and add assertions in debug builds to catch future regressions."
19,core,High,"HydroSystem::ComputeMagneticEnergy(...): MHD path unconditionally reads `(*cons_fc)[1]` and `(*cons_fc)[2]` (`src/hydro/hydro_system.hpp:668-671`) from a `std::array<..., AMREX_SPACEDIM>`, so it is out-of-bounds for 1D/2D MHD builds",src/hydro/hydro_system.hpp,HydroSystem::ComputeMagneticEnergy(...),portability,audit/src-audit-log.md:385,audit/issues/core/019-hydrosystem-computemagneticenergy-hydro-system-hpp.md,"MHD path unconditionally reads `(*cons_fc)[1]` and `(*cons_fc)[2]` (`src/hydro/hydro_system.hpp:668-671`) from a `std::array<..., AMREX_SPACEDIM>`, so it is out-of-bounds for 1D/2D MHD builds.","Replace fixed indices/loop bounds with container-size-aware logic (`AMREX_SPACEDIM` / `.size()`), and add assertions in debug builds to catch future regressions."
20,core,Medium,"HydroSystem::ComputeFluxes<...>(...): face-centered normal velocity uses the opposite-side density when deriving `v_norm` from mass flux (`F[rho] >= 0` divides by `rho_R`, `F[rho] < 0` divides by `rho_L`) at `src/hydro/hydro_system.hpp:1514-1521`",src/hydro/hydro_system.hpp,HydroSystem::ComputeFluxes<...>(...),none,audit/src-audit-log.md:386,audit/issues/core/020-hydrosystem-computefluxes-hydro-system-hpp.md,"face-centered normal velocity uses the opposite-side density when deriving `v_norm` from mass flux (`F[rho] >= 0` divides by `rho_R`, `F[rho] < 0` divides by `rho_L`) at `src/hydro/hydro_system.hpp:1514-1521`. This is inconsistent with the immediately following species upwind logic (`src/hydro/hydro_system.hpp:1525-1544`) and with the linear advection implementation (`src/linear_advection/linear_advection.hpp:190-206`), and can bias tracer advection / dual-energy `div v`.","Apply a targeted fix at the cited location, then add a regression/unit test that exercises the failing code path and confirms the corrected behavior."
21,core,Medium,"MHDSystem::ComputeEMF_FelkerStone2017(...): hard-codes 3D indexing (`fcx_mf_cVars[2]`, `fcx_mf_fspds[2]`, `iedge < 3`) at `src/hydro/mhd_system.hpp:179-186` and `:338-340`, so it is not safe for 1D/2D MHD builds",src/hydro/mhd_system.hpp,MHDSystem::ComputeEMF_FelkerStone2017(...),portability,audit/src-audit-log.md:391,audit/issues/core/021-mhdsystem-computeemf-felkerstone2017-mhd-system-hpp.md,"hard-codes 3D indexing (`fcx_mf_cVars[2]`, `fcx_mf_fspds[2]`, `iedge < 3`) at `src/hydro/mhd_system.hpp:179-186` and `:338-340`, so it is not safe for 1D/2D MHD builds.","Make dimensional assumptions explicit: either add `static_assert(AMREX_SPACEDIM == 3)` for intentionally 3D code, or rewrite loops/indexing to use `AMREX_SPACEDIM` with dimension-guarded branches."
22,core,High,"MHDSystem::ComputeEMF_Quokka2026(...): hard-codes 3D indexing (`fcx_mf_vel[2]`, `fcx_mf_cVars[2]`, `fcx_mf_fspds[2]`, `iedge < 3`) at `src/hydro/mhd_system.hpp:371-385` and `:475-477`, causing out-of-bounds access in 1D/2D MHD builds",src/hydro/mhd_system.hpp,MHDSystem::ComputeEMF_Quokka2026(...),portability,audit/src-audit-log.md:392,audit/issues/core/022-mhdsystem-computeemf-quokka2026-mhd-system-hpp.md,"hard-codes 3D indexing (`fcx_mf_vel[2]`, `fcx_mf_cVars[2]`, `fcx_mf_fspds[2]`, `iedge < 3`) at `src/hydro/mhd_system.hpp:371-385` and `:475-477`, causing out-of-bounds access in 1D/2D MHD builds.","Make dimensional assumptions explicit: either add `static_assert(AMREX_SPACEDIM == 3)` for intentionally 3D code, or rewrite loops/indexing to use `AMREX_SPACEDIM` with dimension-guarded branches. | Replace fixed indices/loop bounds with container-size-aware logic (`AMREX_SPACEDIM` / `.size()`), and add assertions in debug builds to catch future regressions."
23,core,Medium,"MHDSystem::ComputeEMF_Balsara2025(...): hard-codes 3D storage/loops (`cc_mf_EMF(...,3,...)`, `fcx_mf_cVars[2]`, `idim < 3`, `iedge < 3`) at `src/hydro/mhd_system.hpp:501-503`, `:514-523`, `:532`, and `:571`, so the implementation is not dimension-safe for 1D/2D MHD builds",src/hydro/mhd_system.hpp,MHDSystem::ComputeEMF_Balsara2025(...),portability,audit/src-audit-log.md:393,audit/issues/core/023-mhdsystem-computeemf-balsara2025-mhd-system-hpp.md,"hard-codes 3D storage/loops (`cc_mf_EMF(...,3,...)`, `fcx_mf_cVars[2]`, `idim < 3`, `iedge < 3`) at `src/hydro/mhd_system.hpp:501-503`, `:514-523`, `:532`, and `:571`, so the implementation is not dimension-safe for 1D/2D MHD builds.","Make dimensional assumptions explicit: either add `static_assert(AMREX_SPACEDIM == 3)` for intentionally 3D code, or rewrite loops/indexing to use `AMREX_SPACEDIM` with dimension-guarded branches."
24,core,High,"MHDSystem::SolveInductionEqn(...): loops over `w0 = 0..2` unconditionally (`src/hydro/mhd_system.hpp:957`) while operating on `std::array<..., AMREX_SPACEDIM>` containers",src/hydro/mhd_system.hpp,MHDSystem::SolveInductionEqn(...),portability,audit/src-audit-log.md:398,audit/issues/core/024-mhdsystem-solveinductioneqn-mhd-system-hpp.md,"loops over `w0 = 0..2` unconditionally (`src/hydro/mhd_system.hpp:957`) while operating on `std::array<..., AMREX_SPACEDIM>` containers. This is out-of-bounds for 1D/2D MHD builds and should use `AMREX_SPACEDIM`.","Make dimensional assumptions explicit: either add `static_assert(AMREX_SPACEDIM == 3)` for intentionally 3D code, or rewrite loops/indexing to use `AMREX_SPACEDIM` with dimension-guarded branches. | Replace fixed indices/loop bounds with container-size-aware logic (`AMREX_SPACEDIM` / `.size()`), and add assertions in debug builds to catch future regressions."
25,core,Medium,"RadSystem::amendRadState(...): comment says NaN `E_r` is handled, but the floor check uses only `if (E_r < Erad_floor_)` (`src/radiation/radiation_system.hpp:695-701`), which is false for NaN",src/radiation/radiation_system.hpp,RadSystem::amendRadState(...),none,audit/src-audit-log.md:404,audit/issues/core/025-radsystem-amendradstate-radiation-system-hpp.md,"comment says NaN `E_r` is handled, but the floor check uses only `if (E_r < Erad_floor_)` (`src/radiation/radiation_system.hpp:695-701`), which is false for NaN. NaN radiation states can therefore survive `amendRadState()` and trip the subsequent assertion in `PredictStep()` (`src/radiation/radiation_system.hpp:756-760`).","Apply a targeted fix at the cited location, then add a regression/unit test that exercises the failing code path and confirms the corrected behavior."
26,core,Medium,RadSystem::ComputeCellOpticalDepth<DIR>(...): harmonic-mean optical depth uses `2*tau_L*tau_R/(tau_L+tau_R)` with no zero-denominator guard (`src/radiation/radiation_system.hpp:914-923`),src/radiation/radiation_system.hpp,RadSystem::ComputeCellOpticalDepth<DIR>(...),robustness,audit/src-audit-log.md:408,audit/issues/core/026-radsystem-computecellopticaldepth-dir-radiation-system-hpp.md,"harmonic-mean optical depth uses `2*tau_L*tau_R/(tau_L+tau_R)` with no zero-denominator guard (`src/radiation/radiation_system.hpp:914-923`). If both sides are optically thin with zero opacity/depth, this becomes `0/0` and can inject NaNs into the optional wavespeed-correction path.","Apply a targeted fix at the cited location, then add a regression/unit test that exercises the failing code path and confirms the corrected behavior."
27,core,Medium,"RadSystem::ComputeRadPressure<DIR>(...): NaN checks use `AMREX_ASSERT(Fn != NAN)` / `Tn* != NAN` (`src/radiation/radiation_system.hpp:1026-1029`), which are ineffective because comparisons with `NaN` are always true in IEEE arithmetic",src/radiation/radiation_system.hpp,RadSystem::ComputeRadPressure<DIR>(...),robustness,audit/src-audit-log.md:410,audit/issues/core/027-radsystem-computeradpressure-dir-radiation-system-hpp.md,"NaN checks use `AMREX_ASSERT(Fn != NAN)` / `Tn* != NAN` (`src/radiation/radiation_system.hpp:1026-1029`), which are ineffective because comparisons with `NaN` are always true in IEEE arithmetic.",Replace NaN comparisons with `amrex::Math::isfinite(...)` / `std::isfinite(...)` checks (or `x == x` if required on device) and assert on non-finite values.
28,core,Medium,"RadSystem::ComputeDustTemperatureBateKeto(...): warm-start branch computes `T_d = T_gas - R_sum / (N_d * sqrt(T_gas))` with no guard on `N_d > 0` and `T_gas > 0` (`src/radiation/radiation_system.hpp:1480-1483`), so low-density/zero-temperature states can generate `inf`/`nan`",src/radiation/radiation_system.hpp,RadSystem::ComputeDustTemperatureBateKeto(...),robustness,audit/src-audit-log.md:439,audit/issues/core/028-radsystem-computedusttemperaturebateketo-radiation-system-hpp.md,"warm-start branch computes `T_d = T_gas - R_sum / (N_d * sqrt(T_gas))` with no guard on `N_d > 0` and `T_gas > 0` (`src/radiation/radiation_system.hpp:1480-1483`), so low-density/zero-temperature states can generate `inf`/`nan`.","Add explicit runtime guards for zero/non-finite/invalid inputs before the division or square-root path, and choose a deterministic fallback (early return, clamp, or hard abort) consistent with surrounding code."
29,core,Medium,"RadSystem::AddSourceTermsSingleGroup(...): in the `beta_order_ > 1` branch, `gasVel` is value-initialized but never populated before building the 3x3 flux-update matrix (`src/radiation/source_terms_single_group.hpp:399`, `:453-463`)",src/radiation/source_terms_single_group.hpp,RadSystem::AddSourceTermsSingleGroup(...),none,audit/src-audit-log.md:450,audit/issues/core/029-radsystem-addsourcetermssinglegroup-source-terms-single-group-hpp.md,"in the `beta_order_ > 1` branch, `gasVel` is value-initialized but never populated before building the 3x3 flux-update matrix (`src/radiation/source_terms_single_group.hpp:399`, `:453-463`). This silently drops the intended velocity-coupling terms in that branch.","Populate `gasVel` from the current gas state before assembling the flux-update matrix in the `beta_order_ > 1` branch, and add a test that exercises that code path."
30,core,Medium,"quokka::particleParmParse(): `particle_param3` is declared (`src/particles/particle_types.hpp:471`) but not parsed from inputs; the parser only reads `param1` and `param2` (`src/particles/particle_types.hpp:542-543`), so `particles.param3` is silently ignored",src/particles/particle_types.hpp,quokka::particleParmParse(),none,audit/src-audit-log.md:479,audit/issues/core/030-quokka-particleparmparse-particle-types-hpp.md,"`particle_param3` is declared (`src/particles/particle_types.hpp:471`) but not parsed from inputs; the parser only reads `param1` and `param2` (`src/particles/particle_types.hpp:542-543`), so `particles.param3` is silently ignored.",Add the missing `ParmParse` query for the parameter and include a unit/regression test that verifies the runtime value is propagated from inputs.
31,core,Medium,"SNFeedbackUtils::depositThermalKineticMomentumSNR(...): when `SN_smooth_gas_velocity == false`, the cross-term uses `((px*p_radial_x)+(py*p_radial_y)+(pz*p_radial_z))/rho` (`src/particles/particle_deposition.hpp:301-304`) without guarding `rho <= 0`",src/particles/particle_deposition.hpp,SNFeedbackUtils::depositThermalKineticMomentumSNR(...),robustness,audit/src-audit-log.md:503,audit/issues/core/031-snfeedbackutils-depositthermalkineticmomentumsnr-particle-deposition.md,"when `SN_smooth_gas_velocity == false`, the cross-term uses `((px*p_radial_x)+(py*p_radial_y)+(pz*p_radial_z))/rho` (`src/particles/particle_deposition.hpp:301-304`) without guarding `rho <= 0`. In low-density/vacuum cells this can produce `inf`/`nan` energy deposition.","Add explicit runtime guards for zero/non-finite/invalid inputs before the division or square-root path, and choose a deterministic fallback (early return, clamp, or hard abort) consistent with surrounding code."
32,core,Medium,SNFeedbackUtils::addCompositeBufferToState(...): computes `d_e_int_d_rho = e_int / rho` (`src/particles/particle_deposition.hpp:511`) without guarding `rho <= 0`,src/particles/particle_deposition.hpp,SNFeedbackUtils::addCompositeBufferToState(...),robustness,audit/src-audit-log.md:505,audit/issues/core/032-snfeedbackutils-addcompositebuffertostate-particle-deposition-hpp.md,"computes `d_e_int_d_rho = e_int / rho` (`src/particles/particle_deposition.hpp:511`) without guarding `rho <= 0`. If a feedback-affected cell has zero/non-positive gas density, this generates invalid energy updates.","Add explicit runtime guards for zero/non-finite/invalid inputs before the division or square-root path, and choose a deterministic fallback (early return, clamp, or hard abort) consistent with surrounding code."
33,core,High,PhysicsParticleDescriptor<...>::splitParticles(...): no validation that `splitFactor > 0` (`src/particles/PhysicsParticles.hpp:408-469`),src/particles/PhysicsParticles.hpp,PhysicsParticleDescriptor<...>::splitParticles(...),robustness,audit/src-audit-log.md:518,audit/issues/core/033-physicsparticledescriptor-splitparticles-physicsparticles-hpp.md,no validation that `splitFactor > 0` (`src/particles/PhysicsParticles.hpp:408-469`). `splitFactor == 0` marks old particles for deletion and creates none; negative values can also overflow `max_new_particles` (`:414`) and corrupt ID/resize logic.,"Apply a targeted fix at the cited location, then add a regression/unit test that exercises the failing code path and confirms the corrected behavior."
34,core,Medium,"PhysicsParticleRegister::readSFH(...): returns `last_time` by overwriting with each parsed entry (`src/particles/PhysicsParticles.hpp:1136-1175`, assignment at `:1165`) rather than tracking the maximum time across particle types/histories",src/particles/PhysicsParticles.hpp,PhysicsParticleRegister::readSFH(...),robustness,audit/src-audit-log.md:524,audit/issues/core/034-physicsparticleregister-readsfh-physicsparticles-hpp.md,"returns `last_time` by overwriting with each parsed entry (`src/particles/PhysicsParticles.hpp:1136-1175`, assignment at `:1165`) rather than tracking the maximum time across particle types/histories. With multiple formation particle types, the returned restart time can depend on iteration order.","Apply a targeted fix at the cited location, then add a regression/unit test that exercises the failing code path and confirms the corrected behavior."
35,core,Medium,"read_dataset(...): opens an HDF5 dataspace with `H5Dget_space(...)` (`src/turbulence/TurbDataReader.cpp:26`) but never calls `H5Sclose(dspace)`, leaking an HDF5 handle per dataset read",src/turbulence/TurbDataReader.cpp,read_dataset(...),resource leak,audit/src-audit-log.md:532,audit/issues/core/035-read-dataset-turbdatareader-cpp.md,"opens an HDF5 dataspace with `H5Dget_space(...)` (`src/turbulence/TurbDataReader.cpp:26`) but never calls `H5Sclose(dspace)`, leaking an HDF5 handle per dataset read.",Close the dataspace handle with `H5Sclose(dspace)` on all paths (preferably via a small RAII wrapper for HDF5 IDs).
